Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF02034,unclassified sequences/Bacteria,unclassified sequences (100.00%),"Bacteria (100.00%), Bacteria:Proteobacteria (80.00%)",IMES-1,IMES-1 RNA motif,Gene;
RF02035,unclassified sequences/Bacteria,unclassified sequences (100.00%),"Bacteria (100.00%), Bacteria:Proteobacteria (20.00%)",IMES-2,IMES-2 RNA motif,Gene;
RF02036,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,IMES-3,IMES-3 RNA motif,Gene;
RF02037,unclassified sequences/Bacteria,unclassified sequences (100.00%),Bacteria (100.00%),IMES-4,IMES-4 RNA motif,Gene;
RF02678,unclassified sequences/Viruses,"unclassified sequences (98.06%), Other (1.29%), Bacteria (0.65%), Bacteria:Firmicutes (0.65%)",Viruses (100.00%),Hatchet,Hatchet ribozyme,Gene; ribozyme;
RF02681,unclassified sequences/Mixed,"unclassified sequences (99.12%), Bacteria (0.88%), Bacteria:Actinobacteria (0.88%)","Bacteria (88.24%), Bacteria:Proteobacteria (17.65%), Archaea (5.88%), Eukaryota (5.88%), Archaea:Euryarchaeota (5.88%), Eukaryota:Fungi (5.88%)",Twister-sister,Twister_sister_ribozyme,Gene; ribozyme;
RF02684,unclassified sequences/Mixed,"unclassified sequences (98.14%), Bacteria (1.40%), Bacteria:Firmicutes (1.40%), Eukaryota (0.47%), Eukaryota:Metazoa (0.47%)","Bacteria (84.62%), Bacteria:Firmicutes (46.15%), Eukaryota (15.38%), Eukaryota:Metazoa (15.38%)",Twister-P5,Type-P5 twister ribozyme,Gene; ribozyme;
RF02686,unclassified sequences/Viruses,unclassified sequences (100.00%),Viruses (100.00%),RAGATH-6,RAGATH-6 RNA,Gene; ribozyme;
RF02687,unclassified sequences/Bacteria,unclassified sequences (100.00%),"Bacteria (100.00%), Bacteria:Firmicutes (33.33%)",RAGATH-8,RAGATH-8 RNA,Gene; sRNA;
RF02915,unclassified sequences/Mixed,"unclassified sequences (91.95%), Bacteria (8.05%), Bacteria:Proteobacteria (4.60%)","Bacteria (74.29%), Bacteria:Proteobacteria (40.00%), Eukaryota (22.86%), Eukaryota:Metazoa (17.14%), Viruses (2.86%), Eukaryota:Fungi (2.86%), Eukaryota:Viridiplantae (2.86%)",DUF3800-VI,DUF3800-VI RNA,Cis-reg;
RF02918,unclassified sequences/Bacteria,"unclassified sequences (93.33%), Bacteria (6.67%)",Bacteria (100.00%),MDR-NUDIX,MDR-NUDIX RNA,Cis-reg;
RF02933,unclassified sequences/Bacteria,"unclassified sequences (94.29%), Bacteria (5.71%)",Bacteria (100.00%),ARRPOF,ARRPOF RNA,Gene; sRNA;
RF02939,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,COG2908,COG2908 RNA,Cis-reg;
RF02941,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,COG3943,COG3943 RNA,Gene; sRNA;
RF02946,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,cow-rumen-1,cow-rumen-1 RNA,Gene; sRNA;
RF02947,unclassified sequences/Eukaryota+Metazoa,unclassified sequences (100.00%),"Eukaryota (100.00%), Eukaryota:Metazoa (100.00%)",cow-rumen-2,cow-rumen-2 RNA,Gene; sRNA;
RF02948,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,cow-rumen-4,cow-rumen-4 RNA,Gene; sRNA;
RF02950,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,D12-methyl,D12-methyl RNA,Gene; sRNA;
RF02953,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,DUF1874,DUF1874 RNA,Cis-reg;
RF02954,unclassified sequences/Bacteria+Proteobacteria,"unclassified sequences (98.84%), Bacteria (1.16%), Bacteria:Proteobacteria (1.16%)","Bacteria (100.00%), Bacteria:Proteobacteria (100.00%)",DUF3577,DUF3577 RNA,Cis-reg;
RF02956,unclassified sequences/No Data,"unclassified sequences (98.41%), Bacteria (1.59%), Bacteria:Bacteroidetes (1.59%)",No Data,DUF2693,DUF2693 RNA,Gene; sRNA;
RF02959,unclassified sequences/Bacteria+Proteobacteria,unclassified sequences (100.00%),"Bacteria (93.33%), Bacteria:Proteobacteria (93.33%), Eukaryota (6.67%), Eukaryota:Metazoa (6.67%)",DUF3085,DUF3085 RNA,Cis-reg;
RF02960,unclassified sequences/Bacteria,"unclassified sequences (90.32%), Bacteria (9.68%), Bacteria:Firmicutes (5.81%), Bacteria:Actinobacteria (3.23%)","Bacteria (95.00%), Bacteria:Firmicutes (45.00%), Eukaryota (5.00%), Bacteria:Actinobacteria (5.00%), Eukaryota:Metazoa (5.00%)",DUF2800,DUF2800 RNA,Cis-reg;
RF02961,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,DUF3800-II,DUF3800-II RNA,Gene; sRNA;
RF02962,unclassified sequences/Bacteria,"unclassified sequences (98.18%), Bacteria (1.82%)",Bacteria (100.00%),DUF3800-III,DUF3800-III RNA,Gene; sRNA;
RF02964,unclassified sequences/Mixed,"unclassified sequences (97.47%), Bacteria (2.53%), Bacteria:Proteobacteria (2.53%)","Bacteria (75.00%), Eukaryota (25.00%), Bacteria:Proteobacteria (25.00%), Eukaryota:Metazoa (18.75%), Eukaryota:Alveolata (6.25%)",DUF3800-V,DUF3800-V RNA,Gene; sRNA;
RF02966,unclassified sequences/Bacteria,"unclassified sequences (90.74%), Bacteria (9.26%), Bacteria:Firmicutes (9.26%)","Bacteria (100.00%), Bacteria:Firmicutes (56.25%)",DUF3268,DUF3268 RNA,Gene; sRNA;
RF02968,unclassified sequences/Bacteria,"unclassified sequences (90.83%), Bacteria (9.17%), Bacteria:Proteobacteria (4.37%), Bacteria:Actinobacteria (3.49%), Bacteria:Firmicutes (0.44%)","Bacteria (94.29%), Bacteria:Proteobacteria (20.00%), Bacteria:Actinobacteria (14.29%), Eukaryota (5.71%), Bacteria:Firmicutes (2.86%), Eukaryota:Metazoa (2.86%), Eukaryota:Alveolata (2.86%)",DUF3800-IX,DUF3800-IX RNA,Gene; sRNA;
RF02970,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,EGFOA-assoc-1,EGFOA-assoc-1 RNA,Gene; sRNA;
RF02974,unclassified sequences/Bacteria,"unclassified sequences (91.67%), Bacteria (8.33%)",Bacteria (100.00%),Fibro-purF,Fibro-purF RNA,Cis-reg;
RF02976,unclassified sequences/No Data,"unclassified sequences (99.52%), Bacteria (0.48%), Bacteria:Bacteroidetes (0.48%)",No Data,Flavobacterium-1,Flavobacterium-1 RNA,Gene; sRNA;
RF02979,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,freshwater-1,freshwater-1 RNA,Gene; sRNA;
RF02980,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,freshwater-2,freshwater-2 RNA,Cis-reg;
RF02981,unclassified sequences/Bacteria+Firmicutes,unclassified sequences (100.00%),"Bacteria (100.00%), Bacteria:Firmicutes (100.00%)",FTHFS,FTHFS RNA,Cis-reg;
RF02984,unclassified sequences/Archaea,"unclassified sequences (92.05%), Archaea (7.95%), Archaea:Euryarchaeota (7.95%)","Archaea (100.00%), Archaea:Euryarchaeota (70.00%)",DUF3800-X,DUF3800-X RNA,Gene; sRNA;
RF02985,unclassified sequences/Bacteria,"unclassified sequences (90.00%), Bacteria (10.00%)",Bacteria (100.00%),ftsZ-DE,ftsZ-DE RNA,Gene; sRNA;
RF02986,unclassified sequences/Bacteria,"unclassified sequences (97.06%), Bacteria (2.94%), Bacteria:Firmicutes (1.76%)","Bacteria (100.00%), Bacteria:Firmicutes (52.94%)",FuFi-1,FuFi-1 RNA,Gene; sRNA;
RF02987,unclassified sequences/Bacteria,"unclassified sequences (98.54%), Bacteria (1.46%), Bacteria:Firmicutes (1.46%)","Bacteria (98.77%), Bacteria:Firmicutes (82.82%), Eukaryota (1.23%), Eukaryota:Viridiplantae (0.61%), Eukaryota:Metazoa (0.61%)",GA-cis,GA-cis RNA,Gene; sRNA;
RF02990,unclassified sequences/Bacteria,unclassified sequences (100.00%),"Bacteria (100.00%), Bacteria:Firmicutes (50.00%)",gut-2,gut-2 RNA,Gene; sRNA;
RF02991,unclassified sequences/Bacteria,unclassified sequences (100.00%),"Bacteria (100.00%), Bacteria:Firmicutes (33.33%)",GP20-a,GP20-a RNA,Cis-reg;
RF02994,unclassified sequences/Bacteria,"unclassified sequences (92.59%), Bacteria (7.41%), Bacteria:Firmicutes (7.41%)","Bacteria (100.00%), Bacteria:Firmicutes (60.00%)",IMPDH,IMPDH RNA,Gene; sRNA;
RF02995,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,IMES-5,IMES-5 RNA,Gene; sRNA;
RF02997,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,HOLDH,HOLDH RNA,Gene; sRNA;
RF02998,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,IS605-orfB-II,IS605-orfB-II RNA,Gene; sRNA;
RF03000,unclassified sequences/Bacteria,"unclassified sequences (98.10%), Bacteria (1.90%)",Bacteria (100.00%),LOOT,LOOT RNA,Gene; sRNA;
RF03005,unclassified sequences/Bacteria,"unclassified sequences (99.22%), Bacteria (0.78%)",Bacteria (100.00%),lysM-TM7,lysM-TM7 RNA,Cis-reg;
RF03009,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,malK-III,malK-III RNA,Cis-reg;
RF03012,unclassified sequences/Mixed,unclassified sequences (100.00%),"Viruses (66.67%), Bacteria (33.33%), Bacteria:Proteobacteria (33.33%)",Mu-gpT-DE,Mu-gpT-DE RNA,Gene; sRNA;
RF03013,unclassified sequences/Mixed,"unclassified sequences (91.94%), Bacteria (7.53%), Other (0.54%)","Bacteria (89.58%), Eukaryota (10.42%), Eukaryota:Metazoa (8.33%), Eukaryota:Viridiplantae (2.08%)",nadA,nadA riboswitch,Gene; sRNA;
RF03019,unclassified sequences/Archaea,"unclassified sequences (95.19%), Archaea (4.81%)",Archaea (100.00%),RT-16,RT-16 RNA,Gene; sRNA;
RF03021,unclassified sequences/Mixed,"unclassified sequences (93.62%), Bacteria (6.38%), Bacteria:Firmicutes (6.38%)","Bacteria (89.47%), Bacteria:Firmicutes (63.16%), Eukaryota (5.26%), Viruses (5.26%), Eukaryota:Metazoa (5.26%)",RT-18,RT-18 RNA,Gene; sRNA;
RF03022,unclassified sequences/Mixed,"unclassified sequences (97.37%), Bacteria (1.75%), Bacteria:Proteobacteria (1.75%), Other (0.88%)","Bacteria (66.67%), Viruses (33.33%)",Phage_DGR,Bacteriophage Diversity-Generating Retroelement RNA,Gene; sRNA;
RF03025,unclassified sequences/Mixed,"unclassified sequences (91.49%), Bacteria (8.51%), Bacteria:Firmicutes (8.51%)","Bacteria (80.00%), Viruses (20.00%), Bacteria:Firmicutes (20.00%)",RT-4,RT-4 RNA,Gene; sRNA;
RF03026,unclassified sequences/Bacteria,"unclassified sequences (98.59%), Bacteria (1.41%), Bacteria:Firmicutes (1.41%)","Bacteria (100.00%), Bacteria:Firmicutes (50.00%)",RT-5,RT-5 RNA,Gene; sRNA;
RF03040,unclassified sequences/Bacteria+Firmicutes,unclassified sequences (100.00%),"Bacteria (100.00%), Bacteria:Firmicutes (100.00%)",PGK,PGK RNA,Cis-reg;
RF03041,unclassified sequences/Bacteria,unclassified sequences (100.00%),Bacteria (100.00%),poplar-1,poplar-1 RNA,Gene; sRNA;
RF03047,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,RAGATH-16,RAGATH-16 RNA,Gene; sRNA;
RF03048,unclassified sequences/Viruses,unclassified sequences (100.00%),Viruses (100.00%),RAGATH-20,RAGATH-20 RNA,Gene; sRNA;
RF03049,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,RAGATH-24,RAGATH-24 RNA,Gene; sRNA;
RF03051,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,RAGATH-26,RAGATH-26 RNA,Gene; sRNA;
RF03053,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,OTKONC,OTKONC RNA,Gene; sRNA;
RF03055,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,RAGATH-30,RAGATH-30 RNA,Gene; sRNA;
RF03062,unclassified sequences/Bacteria,"unclassified sequences (95.83%), Bacteria (4.17%), Bacteria:Firmicutes (4.17%)","Bacteria (100.00%), Bacteria:Firmicutes (50.00%)",xerDC,xerDC RNA,Cis-reg;
RF03065,unclassified sequences/Bacteria+Firmicutes,"unclassified sequences (99.61%), Bacteria (0.39%), Bacteria:Firmicutes (0.39%)","Bacteria (100.00%), Bacteria:Firmicutes (100.00%)",IS605-orfB-I,IS605-orfB-I RNA,Gene; sRNA;
RF03069,unclassified sequences/Bacteria,"unclassified sequences (92.86%), Bacteria (7.14%), Bacteria:Firmicutes (6.83%)","Bacteria (100.00%), Bacteria:Firmicutes (40.00%)",malK-I,malK-I RNA,Cis-reg;
RF03070,unclassified sequences/Bacteria,"unclassified sequences (92.31%), Bacteria (7.69%), Bacteria:Firmicutes (6.73%), Bacteria:Actinobacteria (0.96%)","Bacteria (100.00%), Bacteria:Firmicutes (30.43%), Bacteria:Actinobacteria (4.35%)",ssNA-helicase,ssNA-helicase RNA,Gene; sRNA;
RF03077,unclassified sequences/Mixed,"unclassified sequences (95.90%), Bacteria (4.10%), Bacteria:Firmicutes (2.05%), Bacteria:Actinobacteria (2.05%)","Bacteria (88.46%), Bacteria:Firmicutes (19.23%), Bacteria:Actinobacteria (15.38%), Viruses (7.69%), Eukaryota (3.85%), Eukaryota:Metazoa (3.85%)",RT-2,RT-2 RNA,Gene; sRNA;
RF03079,unclassified sequences/Mixed,"unclassified sequences (97.73%), Bacteria (2.27%)","Bacteria (88.89%), Eukaryota (11.11%), Eukaryota:Viridiplantae (11.11%)",MISL,MISL RNA,Gene; sRNA;
RF03083,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,cow-rumen-3,cow-rumen-3 RNA,Gene; sRNA;
RF03084,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,DUF2815,DUF2815 RNA,Gene; sRNA;
RF03087,unclassified sequences/Mixed,"unclassified sequences (96.55%), Bacteria (3.45%), Bacteria:Firmicutes (3.10%)","Bacteria (51.28%), Viruses (46.15%), Bacteria:Firmicutes (30.77%), Eukaryota (2.56%), Eukaryota:Metazoa (2.56%)",ROOL,ROOL RNA,Gene; sRNA;
RF03089,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,cold-seep-1,cold-seep-1 RNA,Gene; sRNA;
RF03092,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,Ocean-VII,Ocean-VII RNA,Gene; sRNA;
RF03093,unclassified sequences/Mixed,unclassified sequences (100.00%),"Bacteria (66.67%), Eukaryota (33.33%), Eukaryota:Alveolata (33.33%)",queA,queA RNA,Gene; sRNA;
RF03094,unclassified sequences/Archaea+Euryarchaeota,"unclassified sequences (92.00%), Archaea (8.00%), Archaea:Euryarchaeota (8.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",LAGLIDADG-2,LAGLIDADG-2 RNA,Gene; sRNA;
RF03095,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,RAGATH-17,RAGATH-17 RNA,Gene; sRNA;
RF03096,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,RAGATH-19,RAGATH-19 RNA,Gene; sRNA;
RF03098,unclassified sequences/Viruses,"unclassified sequences (94.44%), Bacteria (5.56%), Bacteria:Firmicutes (5.56%)",Viruses (100.00%),RAGATH-22,RAGATH-22 RNA,Gene; sRNA;
RF03099,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,RAGATH-23,RAGATH-23 RNA,Gene; sRNA;
RF03101,unclassified sequences/Bacteria,"unclassified sequences (96.15%), Bacteria (3.85%), Bacteria:Firmicutes (3.85%)",Bacteria (100.00%),RAGATH-31,RAGATH-31 RNA,Gene; sRNA;
RF03102,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,RAGATH-33,RAGATH-33 RNA,Gene; sRNA;
RF03103,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,RAGATH-34,RAGATH-34 RNA,Gene; sRNA;
RF03104,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,RAGATH-36,RAGATH-36 RNA,Gene; sRNA;
RF03105,unclassified sequences/Viruses,unclassified sequences (100.00%),Viruses (100.00%),RAGATH-7-assoc,RAGATH-7-assoc RNA,Gene; sRNA;
RF03106,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,RT-11,RT-11 RNA,Gene; sRNA;
RF03107,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,saliva-tongue-1,saliva-tongue-1 RNA,Gene; sRNA;
RF03110,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,throat-1,throat-1 RNA,Gene; sRNA;
RF03112,unclassified sequences/No Data,"unclassified sequences (95.24%), Bacteria (4.76%), Bacteria:Firmicutes (4.76%)",No Data,Staphylococcus-1,Staphylococcus-1 RNA,Gene; sRNA;
RF03145,unclassified sequences/Viruses,unclassified sequences (100.00%),Viruses (100.00%),RAGATH-14,RAGATH-14 RNA,Gene; sRNA;
RF03146,unclassified sequences/Viruses,unclassified sequences (100.00%),Viruses (100.00%),RAGATH-9,RAGATH-9 RNA,Gene; sRNA;
RF03147,unclassified sequences/Bacteria,unclassified sequences (100.00%),Bacteria (100.00%),RAGATH-10,RAGATH-10 RNA,Gene; sRNA;
RF03148,unclassified sequences/Eukaryota+Metazoa,unclassified sequences (100.00%),"Eukaryota (100.00%), Eukaryota:Metazoa (98.85%), Eukaryota:Alveolata (1.15%)",RAGATH-11,RAGATH-11 RNA,Gene; sRNA;
RF03149,unclassified sequences/Viruses,unclassified sequences (100.00%),Viruses (100.00%),RAGATH-12,RAGATH-12 RNA,Gene; sRNA;
RF03150,unclassified sequences/Viruses,unclassified sequences (100.00%),Viruses (100.00%),RAGATH-15,RAGATH-15 RNA,Gene; sRNA;
RF03152,unclassified sequences/Viruses,unclassified sequences (100.00%),Viruses (100.00%),RAGATH-1-hammerhead,RAGATH-1 hammerhead ribozyme,Gene; ribozyme;
RF03153,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,RAGATH-4,RAGATH-4 RNA,Gene; sRNA;
RF03154,unclassified sequences/Eukaryota,unclassified sequences (100.00%),"Eukaryota (100.00%), Eukaryota:Metazoa (75.00%)",twister-P3,type-P3 twister ribozyme,Gene; ribozyme;
RF03159,unclassified sequences/Viruses,unclassified sequences (100.00%),Viruses (100.00%),RAGATH-7,RAGATH-7 RNA,Gene; sRNA;
RF03165,unclassified sequences/Bacteria,"unclassified sequences (96.67%), Bacteria (3.33%)","Bacteria (100.00%), Bacteria:Firmicutes (50.00%)",2dG-II,2dG-II purine riboswitch aptamer,Cis-reg; riboswitch;
RF03167,unclassified sequences/Bacteria,"unclassified sequences (92.50%), Bacteria (7.50%), Bacteria:Proteobacteria (5.00%), Bacteria:Firmicutes (2.50%)","Bacteria (99.61%), Bacteria:Firmicutes (23.11%), Bacteria:Proteobacteria (22.27%), Bacteria:Actinobacteria (5.55%), Eukaryota (0.39%), Eukaryota:Viridiplantae (0.15%), Eukaryota:Alveolata (0.15%), Eukaryota:Metazoa (0.08%)",c-di-GMP-I-GGC,c-di-GMP-I-GGC riboswitch aptamer,Cis-reg; riboswitch;
RF03169,unclassified sequences/Bacteria,"unclassified sequences (90.47%), Bacteria (9.53%), Bacteria:Actinobacteria (0.42%)","Bacteria (100.00%), Bacteria:Actinobacteria (27.54%), Bacteria:Firmicutes (5.07%)",c-di-GMP-II-GAG,c-di-GMP-II-GAG riboswitch aptamer,Cis-reg; riboswitch;
RF04190,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,Hairpin-meta1,Hairpin ribozyme 1 from viruses-like metatranscriptomes,Gene; ribozyme;
RF04191,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,Hairpin-meta2,Hairpin ribozyme 2 from viruses-like metatranscriptomes,Gene; ribozyme;
RF04325,unclassified sequences/No Data,unclassified sequences (100.00%),No Data,Pestivirus-3UTR-SLIII-scrofae,Pestivirus 3' UTR SLIII P. scrofae Atypical porcine pestivirus,Gene; sRNA;
