Family,Domain,Seed domains,Full region domains,Rfam ID,Description,RNA type
RF00011,Bacteria,"Bacteria (96.49%), unclassified sequences (2.63%), Eukaryota (0.88%)","Bacteria (97.14%), Eukaryota (2.86%), Eukaryota:Fungi (1.84%)",RNaseP_bact_b,Bacterial RNase P class B,Gene; ribozyme;
RF00012,Eukaryota,Eukaryota (100.00%),"Eukaryota (99.99%), Eukaryota:Fungi (1.37%), Bacteria (0.01%)",U3,Small nucleolar RNA U3,Gene; snRNA; snoRNA; CD-box;
RF00013,Bacteria,"Bacteria (96.67%), Eukaryota (2.00%), unclassified sequences (1.33%)","Bacteria (98.99%), Eukaryota (0.99%), Eukaryota:Fungi (0.14%), Viruses (0.02%)",6S,6S / SsrS RNA,Gene;
RF00014,Bacteria,Bacteria (100.00%),"Bacteria (92.68%), Eukaryota (7.32%), Eukaryota:Fungi (2.44%)",DsrA,DsrA RNA,Gene; sRNA;
RF00015,Eukaryota,"Eukaryota (98.87%), Eukaryota:Fungi (39.55%), Other (0.56%), unclassified sequences (0.56%)","Eukaryota (100.00%), Eukaryota:Fungi (5.61%)",U4,U4 spliceosomal RNA,Gene; snRNA; splicing;
RF00016,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (11.11%)","Eukaryota (100.00%), Eukaryota:Fungi (1.12%)",SNORD14,Small nucleolar RNA SNORD14,Gene; snRNA; snoRNA; CD-box;
RF00017,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (3.30%)","Eukaryota (100.00%), Eukaryota:Fungi (0.05%)",Metazoa_SRP,Metazoan signal recognition particle RNA,Gene;
RF00018,Bacteria,Bacteria (100.00%),"Bacteria (96.40%), Eukaryota (3.60%), Eukaryota:Fungi (0.36%)",CsrB,CsrB/RsmB RNA family,Gene; sRNA;
RF00019,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),Y_RNA,Y RNA,Gene;
RF00020,Eukaryota,"Eukaryota (99.44%), Eukaryota:Fungi (35.56%), unclassified sequences (0.56%)","Eukaryota (100.00%), Eukaryota:Fungi (5.38%)",U5,U5 spliceosomal RNA,Gene; snRNA; splicing;
RF00021,Bacteria,Bacteria (100.00%),"Bacteria (96.59%), Eukaryota (3.41%), Eukaryota:Fungi (0.49%)",Spot_42,Spot 42 RNA,Gene; sRNA;
RF00022,Bacteria,Bacteria (100.00%),"Bacteria (94.71%), Eukaryota (5.29%), Eukaryota:Fungi (0.44%)",GcvB,GcvB RNA,Gene;
RF00023,Bacteria,"Bacteria (93.92%), unclassified sequences (3.77%), Eukaryota (2.10%), Eukaryota:Fungi (0.21%), Viruses (0.21%)","Bacteria (97.92%), Eukaryota (1.40%), Viruses (0.67%), Eukaryota:Fungi (0.27%), Other (0.01%)",tmRNA,transfer-messenger RNA,Gene;
RF00024,Eukaryota,"Eukaryota (97.30%), Viruses (2.70%)","Eukaryota (99.24%), Viruses (0.76%)",Telomerase-vert,Vertebrate telomerase RNA,Gene;
RF00025,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),Telomerase-cil,Ciliate telomerase RNA,Gene;
RF00026,Eukaryota,"Eukaryota (99.47%), Eukaryota:Fungi (29.26%), unclassified sequences (0.53%)","Eukaryota (100.00%), Eukaryota:Fungi (1.61%)",U6,U6 spliceosomal RNA,Gene; snRNA; splicing;
RF00027,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),let-7,let-7 microRNA precursor family,Gene; miRNA;
RF00028,Eukaryota/Mixed,"Eukaryota (91.67%), Eukaryota:Fungi (8.33%), Viruses (8.33%)","Eukaryota (79.78%), Eukaryota:Fungi (36.13%), Bacteria (14.60%), Viruses (5.55%), Archaea (0.07%)",Intron_gpI,Group I catalytic intron,Intron;
RF00029,Mixed,"Eukaryota (83.70%), Bacteria (16.30%), Eukaryota:Fungi (14.13%)","Eukaryota (78.33%), Bacteria (21.47%), Eukaryota:Fungi (1.48%), Archaea (0.17%), Viruses (0.02%), Other (0.01%)",Intron_gpII,Group II catalytic intron,Intron;
RF00030,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (28.79%)","Eukaryota (100.00%), Eukaryota:Fungi (33.94%)",RNase_MRP,RNase MRP,Gene; ribozyme;
RF00031,Eukaryota,Eukaryota (100.00%),"Eukaryota (99.95%), Bacteria (0.05%)",SECIS_1,Selenocysteine insertion sequence 1,Cis-reg;
RF00032,Eukaryota,"Eukaryota (96.00%), Other (4.00%)","Eukaryota (100.00%), Eukaryota:Fungi (0.03%)",Histone3,Histone 3' UTR stem-loop,Cis-reg;
RF00033,Bacteria,Bacteria (100.00%),"Bacteria (95.45%), Eukaryota (4.55%), Eukaryota:Fungi (2.27%)",MicF,MicF RNA,Gene; antisense;
RF00034,Bacteria,"Bacteria (92.31%), unclassified sequences (7.69%)","Bacteria (91.30%), Eukaryota (8.70%), Eukaryota:Fungi (1.09%)",RprA,RprA RNA,Gene; sRNA;
RF00035,Bacteria,Bacteria (100.00%),Bacteria (100.00%),OxyS,OxyS RNA,Gene; sRNA;
RF00036,Viruses,Viruses (100.00%),"Viruses (91.67%), Bacteria (5.56%), Eukaryota (2.78%)",RRE,HIV Rev response element,Cis-reg;
RF00037,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),IRE_I,Iron response element I,Cis-reg;
RF00038,Bacteria,Bacteria (100.00%),Bacteria (100.00%),PrfA,PrfA thermoregulator UTR,Cis-reg; thermoregulator;
RF00039,Bacteria/Mixed,Bacteria (100.00%),"Bacteria (67.86%), Viruses (28.57%), Eukaryota (3.57%)",DicF,DicF RNA,Gene; antisense;
RF00040,Bacteria,Bacteria (100.00%),"Bacteria (94.31%), Eukaryota (5.69%), Eukaryota:Fungi (0.81%)",rne5,RNase E 5' UTR element,Cis-reg;
RF00041,Viruses/No Data,Viruses (100.00%),No Data,Entero_OriR,Enteroviral 3' UTR element,Cis-reg;
RF00042,Bacteria,"Bacteria (91.89%), Other (8.11%)","Bacteria (90.00%), Eukaryota (10.00%)",CopA,CopA-like RNA,Gene; antisense;
RF00043,Mixed/Bacteria,"Bacteria (87.50%), Other (12.50%)",Bacteria (100.00%),Plasmid_R1162,R1162-like plasmid antisense RNA,Gene; antisense;
RF00044,Viruses,Viruses (100.00%),Viruses (100.00%),Phage_pRNA,3WJ core of Phi29 Bacteriophage pRNA,Gene;
RF00045,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORA73,Small nucleolar RNA SNORA73 family,Gene; snRNA; snoRNA; HACA-box;
RF00046,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),snoR30,Small nucleolar RNA R30/Z108,Gene; snRNA; snoRNA; CD-box;
RF00047,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),mir-2,mir-2 microRNA precursor family,Gene; miRNA;
RF00048,Viruses/Mixed,Viruses (100.00%),"Eukaryota (66.67%), Viruses (33.33%)",Entero_CRE,Enterovirus cis-acting replication element,Cis-reg;
RF00049,Eukaryota,Eukaryota (100.00%),"Eukaryota (99.87%), Eukaryota:Fungi (1.14%), Bacteria (0.13%)",SNORD36,Small nucleolar RNA SNORD36,Gene; snRNA; snoRNA; CD-box;
RF00050,Bacteria,"Bacteria (97.26%), unclassified sequences (2.05%), Other (0.68%)","Bacteria (99.24%), Eukaryota (0.64%), Archaea (0.11%), Eukaryota:Fungi (0.11%), Viruses (0.02%)",FMN,FMN riboswitch aptamer (RFN element),Cis-reg; riboswitch;
RF00051,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),mir-17,mir-17 microRNA precursor family,Gene; miRNA;
RF00052,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),lin-4,lin-4 microRNA precursor family,Gene; miRNA;
RF00053,Eukaryota,Eukaryota (100.00%),"Eukaryota (99.92%), Bacteria (0.08%)",mir-7,mir-7 microRNA precursor family,Gene; miRNA;
RF00054,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD25,Small nucleolar RNA SNORD25,Gene; snRNA; snoRNA; CD-box;
RF00055,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD96,Small nucleolar RNA SNORD96 family,Gene; snRNA; snoRNA; CD-box;
RF00056,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORA71,Small nucleolar RNA SNORA71,Gene; snRNA; snoRNA; HACA-box;
RF00057,Bacteria,"Bacteria (96.15%), unclassified sequences (3.85%)","Bacteria (94.72%), Eukaryota (5.28%), Eukaryota:Fungi (0.38%)",RyhB,RyhB RNA,Gene; sRNA;
RF00058,Archaea,Archaea (100.00%),Archaea (100.00%),HgcF,HgcF RNA (Pab35),Gene; snRNA; snoRNA; HACA-box;
RF00059,Mixed/Bacteria,"Bacteria (85.22%), Eukaryota (9.57%), Eukaryota:Fungi (3.48%), Other (2.61%), Archaea (1.74%), unclassified sequences (0.87%)","Bacteria (94.78%), Eukaryota (5.06%), Eukaryota:Fungi (1.47%), Archaea (0.14%), Other (0.01%), Viruses (0.01%)",TPP,TPP riboswitch aptamer (THI element),Cis-reg; riboswitch;
RF00060,Archaea,Archaea (100.00%),Archaea (100.00%),HgcE,HgcE RNA (Pab105),Gene; snRNA; snoRNA; HACA-box;
RF00061,Viruses,Viruses (100.00%),Viruses (100.00%),IRES_HCV,Hepatitis C virus internal ribosome entry site,Cis-reg; IRES;
RF00062,Archaea,Archaea (100.00%),Archaea (100.00%),HgcC,HgcC family RNA,Gene;
RF00063,Archaea,Archaea (100.00%),Archaea (100.00%),SscA,SscA RNA,Gene;
RF00064,Archaea,Archaea (100.00%),Archaea (100.00%),HgcG,HgcG RNA (Pab40),Gene; snRNA; snoRNA; HACA-box;
RF00065,Archaea,Archaea (100.00%),Archaea (100.00%),snoR9,Small nucleolar RNA snoR9,Gene; snRNA; snoRNA; CD-box;
RF00066,Eukaryota,Eukaryota (100.00%),"Eukaryota (99.94%), Bacteria (0.06%)",U7,U7 small nuclear RNA,Gene; snRNA;
RF00067,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD15,Small nucleolar RNA SNORD15,Gene; snRNA; snoRNA; CD-box;
RF00068,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD21,Small nucleolar RNA SNORD21,Gene; snRNA; snoRNA; CD-box;
RF00069,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (14.29%)","Eukaryota (99.96%), Eukaryota:Fungi (5.84%), Archaea (0.04%)",SNORD24,Small nucleolar RNA SNORD24,Gene; snRNA; snoRNA; CD-box;
RF00070,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD29,Small nucleolar RNA SNORD29,Gene; snRNA; snoRNA; CD-box;
RF00071,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD73,Small nucleolar RNA SNORD73,Gene; snRNA; snoRNA; CD-box;
RF00072,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORA75,Small nucleolar RNA SNORA75,Gene; snRNA; snoRNA; HACA-box;
RF00073,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),MIR156,mir-156 microRNA precursor family,Gene; miRNA;
RF00074,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),mir-29,mir-29 microRNA precursor family,Gene; miRNA;
RF00075,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),MIR166,mir-166 microRNA precursor family,Gene; miRNA;
RF00076,Eukaryota,Eukaryota (100.00%),"Eukaryota (100.00%), Eukaryota:Fungi (0.29%)",mir-181,mir-181 microRNA precursor family,Gene; miRNA;
RF00077,Bacteria,Bacteria (100.00%),"Bacteria (95.65%), Eukaryota (4.35%)",SraB,SraB RNA,Gene; sRNA;
RF00078,Bacteria,Bacteria (100.00%),"Bacteria (95.71%), Eukaryota (4.29%), Eukaryota:Fungi (0.71%)",MicA,MicA sRNA,Gene; sRNA;
RF00079,Bacteria,"Bacteria (91.30%), unclassified sequences (8.70%)","Bacteria (93.75%), Eukaryota (6.25%), Eukaryota:Fungi (1.25%)",OmrA-B,OmrA-B family,Gene; sRNA;
RF00080,Bacteria,"Bacteria (89.66%), unclassified sequences (10.34%)","Bacteria (97.72%), Eukaryota (2.19%), Eukaryota:Fungi (0.26%), Viruses (0.09%)",Manganese,Manganese Mn2+ riboswitch aptamer (yybP-ykoY),Cis-reg; riboswitch;
RF00081,Bacteria,Bacteria (100.00%),"Bacteria (93.75%), Eukaryota (6.25%)",ArcZ,ArcZ RNA,Gene; sRNA;
RF00082,Bacteria,Bacteria (100.00%),"Bacteria (95.00%), Eukaryota (5.00%)",SraG,SraG RNA,Gene; sRNA;
RF00083,Bacteria,Bacteria (100.00%),"Bacteria (95.87%), Eukaryota (4.13%)",GlmZ_SraJ,GlmZ RNA activator of glmS mRNA,Gene; sRNA;
RF00084,Bacteria,Bacteria (100.00%),"Bacteria (93.75%), Eukaryota (6.25%)",CsrC,CsrC RNA family,Gene; sRNA;
RF00085,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD28,Small nucleolar RNA SNORD28,Gene; snRNA; snoRNA; CD-box;
RF00086,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (12.50%)","Eukaryota (100.00%), Eukaryota:Fungi (5.02%)",SNORD27,Small nucleolar RNA SNORD27,Gene; snRNA; snoRNA; CD-box;
RF00087,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD26,Small nucleolar RNA SNORD26,Gene; snRNA; snoRNA; CD-box;
RF00088,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD30,Small nucleolar RNA SNORD30,Gene; snRNA; snoRNA; CD-box;
RF00089,Eukaryota,Eukaryota (100.00%),"Eukaryota (100.00%), Eukaryota:Fungi (0.15%)",SNORD31,Small nucleolar RNA SNORD31,Gene; snRNA; snoRNA; CD-box;
RF00090,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORA74,Small nucleolar RNA SNORA74,Gene; snRNA; snoRNA; HACA-box;
RF00091,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORA62,Small nucleolar RNA SNORA62/SNORA6 family,Gene; snRNA; snoRNA; HACA-box;
RF00092,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORA63,Small nucleolar RNA SNORA63,Gene; snRNA; snoRNA; HACA-box;
RF00093,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (18.75%)","Eukaryota (100.00%), Eukaryota:Fungi (1.79%)",SNORD18,Small nucleolar RNA SNORD18,Gene; snRNA; snoRNA; CD-box;
RF00094,Viruses/Mixed,Viruses (100.00%),"Eukaryota (61.11%), Viruses (38.89%)",HDV_ribozyme,Hepatitis delta virus ribozyme,Gene; ribozyme;
RF00095,Archaea,Archaea (100.00%),Archaea (100.00%),snoPyro_CD,Pyrococcus C/D box small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;
RF00096,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),U8,U8 small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;
RF00097,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),snoR71,Plant small nucleolar RNA R71,Gene; snRNA; snoRNA; CD-box;
RF00099,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD22,Small nucleolar RNA SNORD22,Gene; snRNA; snoRNA; CD-box;
RF00100,Eukaryota,"Eukaryota (97.78%), unclassified sequences (2.22%)",Eukaryota (100.00%),7SK,7SK RNA,Gene;
RF00101,Bacteria,Bacteria (100.00%),"Bacteria (94.56%), Eukaryota (5.44%), Eukaryota:Fungi (0.42%)",SraC_RyeA,SraC/RyeA RNA,Gene; sRNA;
RF00102,Viruses,"Viruses (98.18%), Eukaryota (1.82%)","Viruses (95.45%), Eukaryota (4.55%)",VA,VA RNA,Gene;
RF00103,Eukaryota,Eukaryota (100.00%),"Eukaryota (100.00%), Eukaryota:Fungi (0.11%)",mir-1,mir-1 microRNA precursor family,Gene; miRNA;
RF00104,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),mir-10,mir-10 microRNA precursor family,Gene; miRNA;
RF00105,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD115,Small nucleolar RNA SNORD115,Gene; snRNA; snoRNA; CD-box;
RF00106,Bacteria/Mixed,Bacteria (100.00%),"Bacteria (62.82%), Eukaryota (35.26%), Eukaryota:Fungi (3.21%), Viruses (1.92%)",RNAI,RNAI,Gene; antisense;
RF00107,Bacteria/Mixed,Bacteria (100.00%),"Bacteria (84.62%), Eukaryota (15.38%)",FinP,FinP,Gene;
RF00108,Eukaryota,Eukaryota (100.00%),"Eukaryota (99.97%), Eukaryota:Fungi (0.06%), Bacteria (0.03%)",SNORD116,Small nucleolar RNA SNORD116,Gene; snRNA; snoRNA; CD-box;
RF00109,Eukaryota,Eukaryota (100.00%),"Eukaryota (100.00%), Eukaryota:Fungi (0.12%)",Vimentin3,Vimentin 3' UTR protein-binding region,Cis-reg;
RF00110,Bacteria,"Bacteria (75.00%), unclassified sequences (25.00%)","Bacteria (91.79%), Eukaryota (7.46%), Eukaryota:Fungi (0.75%), Viruses (0.75%)",RybB,RybB RNA,Gene; sRNA;
RF00111,Bacteria,Bacteria (100.00%),"Bacteria (96.88%), Eukaryota (3.12%), Eukaryota:Fungi (0.35%)",SdsR_RyeB,SdsR_RyeB RNA,Gene; sRNA;
RF00112,Bacteria,"Bacteria (94.12%), unclassified sequences (5.88%)","Bacteria (94.17%), Eukaryota (5.83%), Eukaryota:Fungi (0.97%)",CyaR_RyeE,CyaR/Rye RNA,Gene; sRNA;
RF00113,Bacteria,Bacteria (100.00%),"Bacteria (91.30%), Eukaryota (8.70%)",SIB_RNA,Short Intergenic Abundant RNA,Gene; antitoxin;
RF00114,Bacteria,"Bacteria (93.59%), unclassified sequences (6.41%)","Bacteria (98.40%), Eukaryota (1.60%)",S15,Ribosomal S15 leader,Cis-reg; leader;
RF00115,Bacteria/Mixed,Bacteria (100.00%),"Bacteria (85.71%), Eukaryota (10.71%), Eukaryota:Fungi (3.57%), Viruses (3.57%)",McaS,McaS/IsrA RNA,Gene; sRNA;
RF00116,Bacteria,Bacteria (100.00%),"Bacteria (93.75%), Eukaryota (6.25%)",C0465,C0465 RNA,Gene; sRNA;
RF00117,Bacteria/Mixed,Bacteria (100.00%),"Bacteria (85.71%), Eukaryota (14.29%)",C0719,C0719 RNA,Gene; sRNA;
RF00118,Bacteria,Bacteria (100.00%),"Bacteria (96.00%), Eukaryota (4.00%)",rydB,rydB RNA,Gene; sRNA;
RF00119,Bacteria/Mixed,Bacteria (100.00%),"Bacteria (78.95%), Eukaryota (21.05%)",C0299,C0299 RNA,Gene; sRNA;
RF00121,Bacteria,"Bacteria (87.50%), unclassified sequences (12.50%)","Bacteria (96.00%), Eukaryota (4.00%)",MicC,MicC RNA,Gene; sRNA;
RF00122,Bacteria,Bacteria (100.00%),"Bacteria (93.75%), Eukaryota (6.25%)",GadY,GadY,Gene; sRNA;
RF00124,Bacteria,Bacteria (100.00%),Bacteria (100.00%),IS102,IS102 RNA,Gene; sRNA;
RF00125,Bacteria,Bacteria (100.00%),Bacteria (100.00%),IS128,IS128 RNA,Gene; sRNA;
RF00126,Bacteria/Mixed,Bacteria (100.00%),"Bacteria (82.50%), Eukaryota (17.50%)",ryfA,ryfA RNA,Gene; sRNA;
RF00127,Bacteria,Bacteria (100.00%),"Bacteria (98.39%), Eukaryota (1.50%), Viruses (0.11%)",t44,t44 RNA,Gene; sRNA;
RF00128,Bacteria/Mixed,Bacteria (100.00%),"Bacteria (84.97%), Eukaryota (15.03%), Eukaryota:Fungi (0.65%)",GlmY_tke1,Glm Y RNA activator of glmS mRNA,Gene; sRNA;
RF00129,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),mir-103,mir-103/107 microRNA precursor family,Gene; miRNA;
RF00130,Eukaryota,Eukaryota (100.00%),"Eukaryota (99.75%), Bacteria (0.25%)",mir-192,mir-192/215 microRNA precursor family,Gene; miRNA;
RF00131,Eukaryota,Eukaryota (100.00%),"Eukaryota (100.00%), Eukaryota:Fungi (0.05%)",mir-30,mir-30 microRNA precursor family,Gene; miRNA;
RF00132,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),snoR24,Small nucleolar RNA R24,Gene; snRNA; snoRNA; CD-box;
RF00133,Eukaryota,Eukaryota (100.00%),"Eukaryota (100.00%), Eukaryota:Fungi (0.96%)",SNORD33,Small nucleolar RNA Z195/SNORD33/SNORD32 family,Gene; snRNA; snoRNA; CD-box;
RF00134,Eukaryota,"Eukaryota (100.00%), Eukaryota:Fungi (27.27%)","Eukaryota (100.00%), Eukaryota:Fungi (0.96%)",snoZ196,Small nucleolar RNA Z196/R39/R59 family,Gene; snRNA; snoRNA; CD-box;
RF00135,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),snoZ223,Small nucleolar RNA Z223,Gene; snRNA; snoRNA; CD-box;
RF00136,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD81,Small nucleolar RNA SNORD81,Gene; snRNA; snoRNA; CD-box;
RF00137,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD83,Small nucleolar RNA SNORD83,Gene; snRNA; snoRNA; CD-box;
RF00138,Eukaryota,Eukaryota (100.00%),"Eukaryota (100.00%), Eukaryota:Fungi (0.15%)",SNORD16,Small nucleolar RNA SNORD16,Gene; snRNA; snoRNA; CD-box;
RF00139,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORA72,Small nucleolar RNA SNORA72,Gene; snRNA; snoRNA; HACA-box;
RF00140,Bacteria,Bacteria (100.00%),"Bacteria (98.76%), Eukaryota (1.24%), Eukaryota:Fungi (0.14%)",Alpha_RBS,Alpha operon ribosome binding site,Cis-reg;
RF00142,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),snoZ118,Small nucleolar RNA Z118/Z121/Z120,Gene; snRNA; snoRNA; CD-box;
RF00143,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),mir-6,mir-6 microRNA precursor family,Gene; miRNA;
RF00144,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),mir-199,mir-199 microRNA precursor family,Gene; miRNA;
RF00145,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),snoZ105,Small nucleolar RNA Z105,Gene; snRNA; snoRNA; CD-box;
RF00147,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD34,Small nucleolar RNA SNORD34,Gene; snRNA; snoRNA; CD-box;
RF00149,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),snoZ103,Small nucleolar RNA Z103,Gene; snRNA; snoRNA; CD-box;
RF00150,Eukaryota,Eukaryota (100.00%),"Eukaryota (99.76%), Archaea (0.24%)",SNORD42,Small nucleolar RNA SNORD42,Gene; snRNA; snoRNA; CD-box;
RF00151,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD58,Small nucleolar RNA SNORD58,Gene; snRNA; snoRNA; CD-box;
RF00152,Eukaryota,Eukaryota (100.00%),"Eukaryota (100.00%), Eukaryota:Fungi (0.25%)",SNORD79,Small nucleolar RNA SNORD79,Gene; snRNA; snoRNA; CD-box;
RF00153,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD62,Small nucleolar RNA SNORD62,Gene; snRNA; snoRNA; CD-box;
RF00154,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD63,Small nucleolar RNA SNORD63,Gene; snRNA; snoRNA; CD-box;
RF00155,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORA66,Small nucleolar RNA SNORA66,Gene; snRNA; snoRNA; HACA-box;
RF00156,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORA70,Small nucleolar RNA SNORA70,Gene; snRNA; snoRNA; HACA-box;
RF00157,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD39,Small nucleolar RNA SNORD55/SNORD39,Gene; snRNA; snoRNA; CD-box;
RF00158,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),SNORD82,Small nucleolar RNA SNORD82,Gene; snRNA; snoRNA; CD-box;
RF00159,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),snoZ168,Small nucleolar RNA Z168/Z174,Gene; snRNA; snoRNA; CD-box;
RF00160,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),snoZ159,Small nucleolar RNA Z159/U59,Gene; snRNA; snoRNA; CD-box;
RF00161,Eukaryota,Eukaryota (100.00%),Eukaryota (100.00%),nos_TCE,Nanos 3' UTR translation control element,Cis-reg;
RF00162,Bacteria,"Bacteria (97.59%), unclassified sequences (1.31%), Other (1.09%)","Bacteria (99.62%), Eukaryota (0.36%), Eukaryota:Fungi (0.05%), Other (0.02%)",SAM,SAM riboswitch aptamer (S box leader),Cis-reg; riboswitch;
RF00163,Mixed/Eukaryota,"Eukaryota (79.31%), Viroids (20.69%)","Eukaryota (100.00%), Eukaryota:Fungi (0.01%)",Hammerhead_1,Hammerhead ribozyme (type I),Gene; ribozyme;
RF00164,Viruses/Mixed,"Viruses (97.44%), Other (2.56%)","Eukaryota (82.61%), Viruses (17.39%)",s2m,Coronavirus 3' stem-loop II-like motif (s2m),Cis-reg;
