Family,Domain,Seed domains,Full region domains,Rfam ID,Description,RNA type
RF01149,Archaea,Archaea (100.0%),Archaea (100.0%),sR10,Small nucleolar RNA sR10,Gene; snRNA; snoRNA; CD-box;
RF01150,Archaea,Archaea (100.0%),Archaea (100.0%),sR11,Small nucleolar RNA sR11,Gene; snRNA; snoRNA; CD-box;
RF01152,Archaea,Archaea (100.0%),Archaea (100.0%),sR1,Small nucleolar RNA sR1,Gene; snRNA; snoRNA; CD-box;
RF01273,Archaea,Archaea (100.0%),Archaea (100.0%),sR34,Small nucleolar RNA sR34,Gene; snRNA; snoRNA; CD-box;
RF01274,Archaea,Archaea (100.0%),Archaea (100.0%),sR45,Small nucleolar RNA sR45,Gene; snRNA; snoRNA; CD-box;
RF01275,Archaea,Archaea (100.0%),Archaea (100.0%),sR22,Small nucleolar RNA sR22,Gene; snRNA; snoRNA; CD-box;
RF01276,Archaea,Archaea (100.0%),Archaea (100.0%),sR53,Small nucleolar RNA sR53,Gene; snRNA; snoRNA; CD-box;
RF01297,Archaea,Archaea (100.0%),Archaea (100.0%),sR40,Small nucleolar RNA sR40,Gene; snRNA; snoRNA; CD-box;
RF01303,Archaea,Archaea (100.0%),Archaea (100.0%),sR49,Small nucleolar RNA sR49,Gene; snRNA; snoRNA; CD-box;
RF01304,Archaea,Archaea (100.0%),Archaea (100.0%),sR5,Small nucleolar RNA sR5,Gene; snRNA; snoRNA; CD-box;
RF01305,Archaea,Archaea (100.0%),"Archaea (90.91%), Eukaryota (9.09%)",sR51,Small nucleolar RNA sR51,Gene; snRNA; snoRNA; CD-box;
RF01306,Archaea,Archaea (100.0%),Archaea (100.0%),sR52,Small nucleolar RNA sR52,Gene; snRNA; snoRNA; CD-box;
RF01307,Archaea,Archaea (100.0%),Archaea (100.0%),sR55,Small nucleolar RNA sR55,Gene; snRNA; snoRNA; CD-box;
RF01308,Archaea,Archaea (100.0%),Archaea (100.0%),sR58,Small nucleolar RNA sR58,Gene; snRNA; snoRNA; CD-box;
RF01309,Archaea,Archaea (100.0%),Archaea (100.0%),sR60,Small nucleolar RNA sR60,Gene; snRNA; snoRNA; CD-box;
RF01310,Archaea,Archaea (100.0%),Archaea (100.0%),sR7,Small nucleolar RNA sR7,Gene; snRNA; snoRNA; CD-box;
RF01312,Archaea,Archaea (100.0%),Archaea (100.0%),sR9,Small nucleolar RNA sR9,Gene; snRNA; snoRNA; CD-box;
RF01319,Archaea,Archaea (100.0%),"Archaea (99.84%), Eukaryota (0.16%)",CRISPR-DR6,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01324,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR11,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01326,Archaea,Archaea (100.0%),"Archaea (99.25%), Eukaryota (0.75%)",CRISPR-DR13,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01328,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR17,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01337,Archaea,Archaea (100.0%),"Archaea (99.92%), Eukaryota (0.08%)",CRISPR-DR24,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01338,Archaea,Archaea (100.0%),"Archaea (99.03%), Eukaryota (0.97%)",CRISPR-DR25,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01339,Archaea,Archaea (100.0%),"Archaea (96.99%), Eukaryota (2.26%), Bacteria (0.75%)",CRISPR-DR27,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01350,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR41,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01351,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR42,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01354,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR45,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01355,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR26,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01358,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR39,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01360,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR47,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01369,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR56,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01373,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR60,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01375,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR62,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01377,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR64,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01378,Archaea,Archaea (100.0%),Archaea (100.0%),CRISPR-DR65,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01722,Archaea,Archaea (100.0%),Archaea (100.0%),Pyrobac-1,Pyrobac-1 RNA,Gene; sRNA;
RF01737,Archaea,Archaea (100.0%),Archaea (100.0%),flpD,flpD RNA,Cis-reg;
RF01829,Archaea,Archaea (100.0%),Archaea (100.0%),sR6,sR6 snoRNA,Gene; snRNA; snoRNA; CD-box;
RF01857,Archaea,Archaea (100.0%),"Archaea (98.84%), Bacteria (0.87%), Eukaryota (0.29%)",Archaea_SRP,Archaeal signal recognition particle RNA,Gene;
RF02163,Archaea,Archaea (100.0%),Archaea (100.0%),sR-tMet,Small nucleolar RNA sR-tMet,Gene; snRNA; snoRNA; CD-box;
RF02357,Archaea,Archaea (100.0%),Archaea (100.0%),RNaseP-T,RNaseP truncated form,Gene; ribozyme;
RF02511,Archaea,Archaea (100.0%),Archaea (100.0%),PYLIS_4,Pyrrolysine insertion sequence TetR,Cis-reg;
RF02512,Archaea,"Archaea (94.12%), unclassified sequences (5.88%)","Archaea (97.06%), unclassified sequences (2.94%)",PYLIS_5,Pyrrolysine insertion sequence transposase 1,Cis-reg;
RF02513,Archaea,Archaea (100.0%),Archaea (100.0%),PYLIS_6,Pyrrolysine insertion sequence transposase 2,Cis-reg;
RF02656,Archaea,Archaea (100.0%),Archaea (100.0%),sot0042,Sense overlapping transcript RNA 0042 (sot),Gene; sRNA;
RF02657,Archaea,Archaea (100.0%),Archaea (100.0%),sot2652,Sense overlapping transcript RNA 2652 (sot),Gene; sRNA;
RF02792,Archaea,Archaea (100.0%),Archaea (100.0%),sRNA162,Archaeal Small RNA 162,Gene; antisense;
RF02793,Archaea,Archaea (100.0%),Archaea (100.0%),asR3,Pyrobaculum asRNA3,Gene; antisense; 
RF02794,Archaea,Archaea (100.0%),Archaea (100.0%),Pab19,Pab19 RNA,Gene; snRNA; snoRNA; HACA-box;
RF02795,Archaea,Archaea (100.0%),Archaea (100.0%),Pab91,Pab91 RNA,Gene; snRNA; snoRNA; HACA-box;
RF02796,Archaea,Archaea (100.0%),Archaea (100.0%),Pab160,Pab160 RNA,Gene; snRNA; snoRNA; HACA-box;
RF02801,Archaea,Archaea (100.0%),Archaea (100.0%),PyrR201,Pyrobaculum sRNA 201,Gene; snRNA; snoRNA; HACA-box;
RF02802,Archaea,Archaea (100.0%),Archaea (100.0%),PyrR204,Pyrobaculum sRNA 204,Gene; snRNA; snoRNA; HACA-box;
RF02804,Archaea,Archaea (100.0%),Archaea (100.0%),PyrR206,Pyrobaculum sRNA 206,Gene; snRNA; snoRNA; HACA-box;
RF02805,Archaea,Archaea (100.0%),Archaea (100.0%),PyrR207,Pyrobaculum sRNA 207,Gene; snRNA; snoRNA; HACA-box;
RF02806,Archaea,Archaea (100.0%),Archaea (100.0%),PyrR208,Pyrobaculum sRNA 208,Gene; snRNA; snoRNA; HACA-box;
RF02807,Archaea,Archaea (100.0%),Archaea (100.0%),PyrR209,Pyrobaculum sRNA 209,Gene; snRNA; snoRNA; HACA-box;
RF02808,Archaea,Archaea (100.0%),Archaea (100.0%),PyrR210,Pyrobaculum sRNA 210,Gene; snRNA; snoRNA; HACA-box;
RF02814,Archaea,Archaea (100.0%),Archaea (100.0%),Sso133,Sulfolobus sRNA133,Gene; sRNA;
RF02905,Archaea,Archaea (100.0%),Archaea (100.0%),sRNA41,Archaeal Small RNA 41,Gene; sRNA;
RF02906,Archaea,Archaea (100.0%),Archaea (100.0%),sRNA154,Archaeal Small RNA 154,Gene; sRNA;
RF03001,Archaea,"Archaea (52.63%), unclassified sequences (47.37%)","Archaea (65.88%), unclassified sequences (34.12%)",leuA-Halobacteria,leuA-Halobacteria RNA,Cis-reg;
