Family,Domain,Seed groups,Full region groups,Rfam ID,Description,RNA type
RF01119,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR32,Small nucleolar RNA sR32,Gene; snRNA; snoRNA; CD-box;
RF01120,Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (66.67%), Archaea:Crenarchaeota (33.33%)","Archaea (92.31%), Archaea:Crenarchaeota (69.23%), Eukaryota (7.69%), Archaea:Euryarchaeota (7.69%), Eukaryota:Fungi (7.69%)",sR33,Small nucleolar RNA sR33,Gene; snRNA; snoRNA; CD-box;
RF01121,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR38,Small nucleolar RNA sR38,Gene; snRNA; snoRNA; CD-box;
RF01122,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR39,Small nucleolar RNA sR39,Gene; snRNA; snoRNA; CD-box;
RF01123,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR35,Small nucleolar RNA sR35,Gene; snRNA; snoRNA; CD-box;
RF01124,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR36,Small nucleolar RNA sR36,Gene; snRNA; snoRNA; CD-box;
RF01126,Archaea+Euryarchaeota/Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (82.35%)",sR41,Small nucleolar RNA sR41,Gene; snRNA; snoRNA; CD-box;
RF01127,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR42,Small nucleolar RNA sR42,Gene; snRNA; snoRNA; CD-box;
RF01128,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR43,Small nucleolar RNA sR42,Gene; snRNA; snoRNA; CD-box;
RF01129,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR44,Small nucleolar RNA sR44,Gene; snRNA; snoRNA; CD-box;
RF01130,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR46,Small nucleolar RNA sR46,Gene; snRNA; snoRNA; CD-box;
RF01131,Archaea+Euryarchaeota/Mixed,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (83.33%), Archaea:Euryarchaeota (83.33%), Eukaryota (16.67%), Eukaryota:Metazoa (16.67%)",sR47,Small nucleolar RNA sR47,Gene; snRNA; snoRNA; CD-box;
RF01132,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR48,Small nucleolar RNA sR48,Gene; snRNA; snoRNA; CD-box;
RF01133,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (94.74%), Archaea:Crenarchaeota (5.26%)","Archaea (100.00%), Archaea:Euryarchaeota (96.08%), Archaea:Crenarchaeota (1.96%)",sR3,Small nucleolar RNA sR3,Gene; snRNA; snoRNA; CD-box;
RF01134,Archaea+Euryarchaeota/Mixed,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Eukaryota (87.50%), Eukaryota:Viridiplantae (75.00%), Eukaryota:Metazoa (12.50%), Archaea (6.25%), Bacteria (6.25%), Archaea:Euryarchaeota (6.25%)",sR30,Small nucleolar RNA sR30,Gene; snRNA; snoRNA; CD-box;
RF01135,Archaea+Euryarchaeota/Mixed,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Eukaryota (75.00%), Eukaryota:Metazoa (66.67%), Archaea (25.00%), Archaea:Euryarchaeota (16.67%), Archaea:Crenarchaeota (8.33%), Eukaryota:Viridiplantae (8.33%)",sR24,Small nucleolar RNA sR24,Gene; snRNA; snoRNA; CD-box;
RF01136,Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (83.33%), Archaea:Crenarchaeota (16.67%)","Archaea (100.00%), Archaea:Euryarchaeota (83.33%), Archaea:Crenarchaeota (16.67%)",sR28,Small nucleolar RNA sR28,Gene; snRNA; snoRNA; CD-box;
RF01138,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR23,Small nucleolar RNA sR23,Gene; snRNA; snoRNA; CD-box;
RF01139,Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (50.00%), Archaea:Crenarchaeota (50.00%)","Archaea (94.44%), Archaea:Crenarchaeota (61.11%), Archaea:Euryarchaeota (27.78%), Eukaryota (5.56%), Eukaryota:Alveolata (5.56%)",sR2,Small nucleolar RNA sR2,Gene; snRNA; snoRNA; CD-box;
RF01140,Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (50.00%), Archaea:Crenarchaeota (50.00%)","Archaea (100.00%), Archaea:Crenarchaeota (64.29%), Archaea:Euryarchaeota (7.14%)",sR20,Small nucleolar RNA sR20,Gene; snRNA; snoRNA; CD-box;
RF01141,Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (60.00%), Archaea:Crenarchaeota (40.00%)","Archaea (100.00%), Archaea:Crenarchaeota (66.67%), Archaea:Euryarchaeota (33.33%)",sR18,Small nucleolar RNA sR18,Gene; snRNA; snoRNA; CD-box;
RF01142,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR19,Small nucleolar RNA sR19,Gene; snRNA; snoRNA; CD-box;
RF01144,Archaea/Mixed,"Archaea (100.00%), Archaea:Euryarchaeota (60.00%), Archaea:Crenarchaeota (40.00%)","Eukaryota (57.14%), Archaea (42.86%), Archaea:Crenarchaeota (35.71%), Eukaryota:Metazoa (28.57%), Eukaryota:Fungi (21.43%), Archaea:Euryarchaeota (7.14%), Eukaryota:Viridiplantae (7.14%)",sR17,Small nucleolar RNA sR17,Gene; snRNA; snoRNA; CD-box;
RF01145,Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (50.00%), Archaea:Crenarchaeota (50.00%)","Archaea (100.00%), Archaea:Crenarchaeota (62.50%), Archaea:Euryarchaeota (18.75%)",sR14,Small nucleolar RNA sR14,Gene; snRNA; snoRNA; CD-box;
RF01147,Archaea/Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (60.00%), Archaea:Crenarchaeota (40.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR12,Small nucleolar RNA sR12,Gene; snRNA; snoRNA; CD-box;
RF01149,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR10,Small nucleolar RNA sR10,Gene; snRNA; snoRNA; CD-box;
RF01150,Archaea,"Archaea (100.00%), Archaea:Crenarchaeota (62.50%), Archaea:Euryarchaeota (37.50%)","Archaea (100.00%), Archaea:Crenarchaeota (66.67%), Archaea:Euryarchaeota (11.11%)",sR11,Small nucleolar RNA sR11,Gene; snRNA; snoRNA; CD-box;
RF01152,Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (75.00%), Archaea:Crenarchaeota (25.00%)","Archaea (100.00%), Archaea:Euryarchaeota (73.33%), Archaea:Crenarchaeota (26.67%)",sR1,Small nucleolar RNA sR1,Gene; snRNA; snoRNA; CD-box;
RF01273,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR34,Small nucleolar RNA sR34,Gene; snRNA; snoRNA; CD-box;
RF01274,Archaea+Euryarchaeota/Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (80.00%)",sR45,Small nucleolar RNA sR45,Gene; snRNA; snoRNA; CD-box;
RF01275,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR22,Small nucleolar RNA sR22,Gene; snRNA; snoRNA; CD-box;
RF01276,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR53,Small nucleolar RNA sR53,Gene; snRNA; snoRNA; CD-box;
RF01297,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR40,Small nucleolar RNA sR40,Gene; snRNA; snoRNA; CD-box;
RF01303,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR49,Small nucleolar RNA sR49,Gene; snRNA; snoRNA; CD-box;
RF01304,Archaea/Mixed,"Archaea (100.00%), Archaea:Euryarchaeota (54.55%), Archaea:Crenarchaeota (45.45%)","Eukaryota (58.62%), Eukaryota:Metazoa (51.72%), Archaea (41.38%), Archaea:Crenarchaeota (20.69%), Archaea:Euryarchaeota (13.79%), Eukaryota:Viridiplantae (6.90%)",sR5,Small nucleolar RNA sR5,Gene; snRNA; snoRNA; CD-box;
RF01305,Archaea+Euryarchaeota/Mixed,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (75.00%), Archaea:Euryarchaeota (75.00%), Eukaryota (25.00%), Eukaryota:Fungi (25.00%)",sR51,Small nucleolar RNA sR51,Gene; snRNA; snoRNA; CD-box;
RF01306,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR52,Small nucleolar RNA sR52,Gene; snRNA; snoRNA; CD-box;
RF01307,Archaea+Euryarchaeota/Mixed,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (50.00%), Archaea:Euryarchaeota (50.00%), Eukaryota (37.50%), Eukaryota:Viridiplantae (25.00%), Bacteria (12.50%), Eukaryota:Fungi (12.50%)",sR55,Small nucleolar RNA sR55,Gene; snRNA; snoRNA; CD-box;
RF01308,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR58,Small nucleolar RNA sR58,Gene; snRNA; snoRNA; CD-box;
RF01309,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sR60,Small nucleolar RNA sR60,Gene; snRNA; snoRNA; CD-box;
RF01310,Archaea/Mixed,"Archaea (100.00%), Archaea:Euryarchaeota (80.00%), Archaea:Crenarchaeota (20.00%)","Archaea (50.00%), Eukaryota (50.00%), Archaea:Euryarchaeota (25.00%), Archaea:Crenarchaeota (25.00%), Eukaryota:Viridiplantae (25.00%), Eukaryota:Metazoa (25.00%)",sR7,Small nucleolar RNA sR7,Gene; snRNA; snoRNA; CD-box;
RF01319,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",CRISPR-DR6,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01320,Mixed,"Archaea (50.00%), Archaea:Euryarchaeota (50.00%), Bacteria (30.00%), unclassified sequences (20.00%), Bacteria:Proteobacteria (10.00%), Bacteria:Bacteroidetes (10.00%)","Bacteria (69.00%), Archaea (30.64%), Archaea:Euryarchaeota (28.40%), Bacteria:Proteobacteria (15.94%), Bacteria:Firmicutes (9.36%), Bacteria:Bacteroidetes (9.22%), Archaea:Thaumarchaeota (2.24%), Eukaryota (0.37%), Eukaryota:Metazoa (0.27%), Eukaryota:Viridiplantae (0.09%)",CRISPR-DR7,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01324,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",CRISPR-DR11,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01326,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (98.47%), Archaea:Euryarchaeota (98.47%), Eukaryota (1.53%), Eukaryota:Viridiplantae (0.76%), Eukaryota:Metazoa (0.76%)",CRISPR-DR13,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01337,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (99.91%), Archaea:Euryarchaeota (99.91%), Eukaryota (0.09%), Eukaryota:Metazoa (0.09%)",CRISPR-DR24,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01350,Archaea+Euryarchaeota/No Data,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",No Data,CRISPR-DR41,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01351,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",CRISPR-DR42,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01358,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",CRISPR-DR39,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01360,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",CRISPR-DR47,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01369,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (99.02%), Archaea:Euryarchaeota (99.02%), Eukaryota (0.98%), Eukaryota:Metazoa (0.98%)",CRISPR-DR56,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01373,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",CRISPR-DR60,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01375,Archaea+Euryarchaeota/No Data,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",No Data,CRISPR-DR62,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01377,Archaea+Euryarchaeota/No Data,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",No Data,CRISPR-DR64,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01378,Archaea+Euryarchaeota/No Data,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",No Data,CRISPR-DR65,CRISPR RNA direct repeat element,Gene; CRISPR;
RF01737,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",flpD,flpD RNA,Cis-reg;
RF01852,Mixed,"Bacteria (68.81%), Bacteria:Proteobacteria (48.62%), Eukaryota (29.36%), Eukaryota:Metazoa (25.69%), Bacteria:Firmicutes (11.93%), Bacteria:Actinobacteria (4.59%), Archaea (1.83%), Archaea:Euryarchaeota (1.83%), Eukaryota:Viridiplantae (0.92%)","Bacteria (55.11%), Eukaryota (44.32%), Eukaryota:Metazoa (33.00%), Bacteria:Proteobacteria (11.94%), Bacteria:Actinobacteria (9.02%), Bacteria:Firmicutes (8.41%), Eukaryota:Alveolata (5.01%), Eukaryota:Viridiplantae (1.41%), Eukaryota:Stramenopiles (1.08%), Eukaryota:Fungi (0.42%), Viruses (0.40%), Eukaryota:Amoebozoa (0.19%), Archaea (0.16%), Archaea:Euryarchaeota (0.12%), Bacteria:Bacteroidetes (0.12%), Bacteria:Cyanobacteria (0.02%)",tRNA-Sec,Selenocysteine transfer RNA,Gene; tRNA;
RF01857,Archaea,"Archaea (100.00%), Archaea:Euryarchaeota (83.33%), Archaea:Crenarchaeota (14.81%)","Archaea (99.68%), Archaea:Euryarchaeota (72.87%), Archaea:Crenarchaeota (9.78%), Archaea:Thaumarchaeota (2.21%), Bacteria (0.32%), Bacteria:Firmicutes (0.32%)",Archaea_SRP,Archaeal signal recognition particle RNA,Gene;
RF01959,Archaea/Mixed,"Archaea (100.00%), Archaea:Euryarchaeota (66.28%), Archaea:Crenarchaeota (16.28%), Archaea:Thaumarchaeota (8.14%)","Archaea (68.19%), Archaea:Euryarchaeota (53.94%), Eukaryota (30.43%), Eukaryota:Viridiplantae (25.86%), Archaea:Crenarchaeota (4.70%), Eukaryota:Metazoa (3.04%), Archaea:Thaumarchaeota (1.52%), Bacteria (1.38%), Eukaryota:Fungi (1.24%), Bacteria:Firmicutes (0.55%), Bacteria:Bacteroidetes (0.41%), Bacteria:Cyanobacteria (0.14%)",SSU_rRNA_archaea,Archaeal small subunit ribosomal RNA,Gene; rRNA;
RF01982,Mixed,"Archaea (85.00%), Archaea:Euryarchaeota (85.00%), Bacteria (15.00%), Bacteria:Firmicutes (15.00%)","Archaea (55.88%), Archaea:Euryarchaeota (55.88%), Bacteria (44.12%), Bacteria:Firmicutes (26.47%)",PYLIS_1,Pyrrolysine insertion sequence 1,Cis-reg;
RF02163,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (99.15%), Archaea:Euryarchaeota (97.46%), Bacteria (0.85%), Bacteria:Firmicutes (0.85%)",sR-tMet,Small nucleolar RNA sR-tMet,Gene; snRNA; snoRNA; CD-box;
RF02509,Mixed,"Archaea (69.57%), Archaea:Euryarchaeota (69.57%), unclassified sequences (21.74%), Bacteria (8.70%), Bacteria:Firmicutes (8.70%)","Bacteria (53.62%), Archaea (46.38%), Archaea:Euryarchaeota (42.03%), Bacteria:Proteobacteria (23.19%), Bacteria:Firmicutes (18.84%)",PYLIS_2,Pyrrolysine insertion sequence mtbB,Cis-reg;
RF02510,Mixed/Bacteria,"Archaea (43.48%), Bacteria (43.48%), Archaea:Euryarchaeota (43.48%), Bacteria:Firmicutes (39.13%), unclassified sequences (13.04%), Bacteria:Proteobacteria (4.35%)","Bacteria (92.54%), Bacteria:Proteobacteria (45.22%), Bacteria:Firmicutes (11.19%), Archaea (6.06%), Archaea:Euryarchaeota (5.59%), Eukaryota (1.40%), Eukaryota:Metazoa (0.70%), Eukaryota:Alveolata (0.70%)",PYLIS_3,Pyrrolysine insertion sequence mttB,Cis-reg;
RF02511,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",PYLIS_4,Pyrrolysine insertion sequence TetR,Cis-reg;
RF02512,Archaea+Euryarchaeota,"Archaea (94.12%), Archaea:Euryarchaeota (94.12%), unclassified sequences (5.88%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",PYLIS_5,Pyrrolysine insertion sequence transposase 1,Cis-reg;
RF02513,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",PYLIS_6,Pyrrolysine insertion sequence transposase 2,Cis-reg;
RF02540,Archaea/Mixed,"Archaea (100.00%), Archaea:Euryarchaeota (63.74%), Archaea:Crenarchaeota (20.88%), Archaea:Thaumarchaeota (8.79%)","Eukaryota (80.40%), Eukaryota:Metazoa (39.57%), Eukaryota:Viridiplantae (31.87%), Archaea (17.29%), Archaea:Euryarchaeota (13.95%), Eukaryota:Fungi (5.72%), Bacteria (2.27%), Archaea:Crenarchaeota (1.14%), Bacteria:Firmicutes (1.07%), Eukaryota:Alveolata (0.80%), Archaea:Thaumarchaeota (0.33%), Bacteria:Proteobacteria (0.30%), Bacteria:Actinobacteria (0.23%), Bacteria:Bacteroidetes (0.17%), Viruses (0.03%), Bacteria:Cyanobacteria (0.03%), Eukaryota:Amoebozoa (0.03%), Eukaryota:Stramenopiles (0.03%)",LSU_rRNA_archaea,Archaeal large subunit ribosomal RNA,Gene; rRNA;
RF02656,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (99.49%), Archaea:Euryarchaeota (92.93%), Bacteria (0.51%), Bacteria:Firmicutes (0.51%)",sot0042,Sense overlapping transcript RNA 0042 (sot),Gene; sRNA;
RF02657,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (97.37%), Archaea:Euryarchaeota (94.74%), Bacteria (2.63%), Bacteria:Firmicutes (2.63%)",sot2652,Sense overlapping transcript RNA 2652 (sot),Gene; sRNA;
RF02792,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sRNA162,Archaeal Small RNA 162,Gene; antisense;
RF02794,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",Pab19,Pab19 RNA,Gene; snRNA; snoRNA; HACA-box;
RF02795,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",Pab91,Pab91 RNA,Gene; snRNA; snoRNA; HACA-box;
RF02796,Mixed/Archaea+Euryarchaeota,"Archaea (80.00%), Archaea:Euryarchaeota (80.00%), Other (20.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",Pab160,Pab160 RNA,Gene; snRNA; snoRNA; HACA-box;
RF02905,Archaea+Euryarchaeota/Mixed,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Eukaryota (66.67%), Eukaryota:Metazoa (66.67%), Archaea (33.33%), Archaea:Euryarchaeota (33.33%)",sRNA41,Archaeal Small RNA 41,Gene; sRNA;
RF02906,Archaea+Euryarchaeota,"Archaea (100.00%), Archaea:Euryarchaeota (100.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",sRNA154,Archaeal Small RNA 154,Gene; sRNA;
RF02984,Archaea+Euryarchaeota/Archaea,"unclassified sequences (92.05%), Archaea (7.95%), Archaea:Euryarchaeota (7.95%)","Archaea (100.00%), Archaea:Euryarchaeota (70.00%)",DUF3800-X,DUF3800-X RNA,Gene; sRNA;
RF03001,Archaea+Euryarchaeota,"Archaea (52.63%), Archaea:Euryarchaeota (50.66%), unclassified sequences (47.37%)","Archaea (99.02%), Archaea:Euryarchaeota (97.06%), Bacteria (0.98%), Bacteria:Firmicutes (0.98%)",leuA-Halobacteria,leuA-Halobacteria RNA,Cis-reg;
RF03094,Archaea+Euryarchaeota,"unclassified sequences (92.00%), Archaea (8.00%), Archaea:Euryarchaeota (8.00%)","Archaea (100.00%), Archaea:Euryarchaeota (100.00%)",LAGLIDADG-2,LAGLIDADG-2 RNA,Gene; sRNA;
