Family,Domain,Seed domains,Full region domains,Rfam ID,Description,RNA type
RF00012,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),U3,Small nucleolar RNA U3,Gene; snRNA; snoRNA; CD-box;
RF00013,Bacteria,"Bacteria (96.64%), Eukaryota (2.01%), unclassified sequences (1.34%)","Bacteria (99.22%), Eukaryota (0.72%), unclassified sequences (0.05%)",6S,6S / SsrS RNA,Gene;
RF00014,Bacteria,Bacteria (100.0%),"Bacteria (95.0%), Eukaryota (5.0%)",DsrA,DsrA RNA,Gene; sRNA;
RF00015,Eukaryota,"Eukaryota (99.41%), unclassified sequences (0.59%)","Eukaryota (99.99%), unclassified sequences (0.01%)",U4,U4 spliceosomal RNA,Gene; snRNA; splicing;
RF00016,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD14,Small nucleolar RNA SNORD14,Gene; snRNA; snoRNA; CD-box;
RF00017,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),Metazoa_SRP,Metazoan signal recognition particle RNA,Gene;
RF00018,Bacteria,Bacteria (100.0%),"Bacteria (96.58%), Eukaryota (3.42%)",CsrB,CsrB/RsmB RNA family,Gene; sRNA;
RF00019,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),Y_RNA,Y RNA,Gene;
RF00020,Eukaryota,"Eukaryota (99.44%), unclassified sequences (0.56%)","Eukaryota (99.99%), unclassified sequences (0.01%)",U5,U5 spliceosomal RNA,Gene; snRNA; splicing;
RF00021,Bacteria,Bacteria (100.0%),"Bacteria (96.63%), Eukaryota (3.37%)",Spot_42,Spot 42 RNA,Gene; sRNA;
RF00022,Bacteria,Bacteria (100.0%),"Bacteria (96.58%), Eukaryota (3.42%)",GcvB,GcvB RNA,Gene;
RF00023,Bacteria,"Bacteria (93.92%), unclassified sequences (3.77%), Eukaryota (2.1%), Viruses (0.21%)","Bacteria (98.63%), Eukaryota (0.87%), unclassified sequences (0.27%), Viruses (0.21%), Archaea (0.03%)",tmRNA,transfer-messenger RNA,Gene;
RF00024,Eukaryota,"Eukaryota (97.3%), Viruses (2.7%)","Eukaryota (95.61%), Viruses (4.39%)",Telomerase-vert,Vertebrate telomerase RNA,Gene;
RF00025,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),Telomerase-cil,Ciliate telomerase RNA,Gene;
RF00026,Eukaryota,"Eukaryota (99.47%), unclassified sequences (0.53%)",Eukaryota (100.0%),U6,U6 spliceosomal RNA,Gene; snRNA; splicing;
RF00027,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),let-7,let-7 microRNA precursor,Gene; miRNA;
RF00028,Eukaryota/Mixed,"Eukaryota (91.67%), Viruses (8.33%)","Eukaryota (50.4%), Bacteria (44.73%), Viruses (4.63%), Archaea (0.23%)",Intron_gpI,Group I catalytic intron,Intron;
RF00029,Mixed,"Eukaryota (83.7%), Bacteria (16.3%)","Eukaryota (64.61%), Bacteria (34.67%), Archaea (0.7%), Viruses (0.02%)",Intron_gpII,Group II catalytic intron,Intron;
RF00030,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),RNase_MRP,RNase MRP,Gene; ribozyme;
RF00031,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SECIS_1,Selenocysteine insertion sequence 1,Cis-reg;
RF00032,Eukaryota,Eukaryota (100.0%),"Eukaryota (99.04%), Bacteria (0.95%), Viruses (0.01%)",Histone3,Histone 3' UTR stem-loop,Cis-reg;
RF00033,Bacteria,Bacteria (100.0%),"Bacteria (95.35%), Eukaryota (4.65%)",MicF,MicF RNA,Gene; antisense;
RF00034,Bacteria,"Bacteria (92.31%), unclassified sequences (7.69%)","Bacteria (94.9%), Eukaryota (4.08%), unclassified sequences (1.02%)",RprA,RprA RNA,Gene; sRNA;
RF00035,Bacteria,Bacteria (100.0%),Bacteria (100.0%),OxyS,OxyS RNA,Gene; sRNA;
RF00036,Viruses,Viruses (100.0%),Viruses (100.0%),RRE,HIV Rev response element,Cis-reg;
RF00037,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),IRE_I,Iron response element I,Cis-reg;
RF00038,Bacteria,Bacteria (100.0%),Bacteria (100.0%),PrfA,PrfA thermoregulator UTR,Cis-reg; thermoregulator;
RF00039,Bacteria,Bacteria (100.0%),Bacteria (100.0%),DicF,DicF RNA,Gene; antisense;
RF00040,Bacteria,Bacteria (100.0%),"Bacteria (95.5%), Eukaryota (4.5%)",rne5,RNase E 5' UTR element,Cis-reg;
RF00041,Viruses,Viruses (100.0%),Viruses (100.0%),Entero_OriR,Enteroviral 3' UTR element,Cis-reg;
RF00042,Bacteria/Mixed,"Bacteria (91.89%), Other (8.11%)","Bacteria (87.3%), Eukaryota (7.94%), Other (4.76%)",CopA,CopA-like RNA,Gene; antisense;
RF00043,Mixed/Bacteria,"Bacteria (87.5%), Other (12.5%)","Bacteria (90.91%), Other (9.09%)",Plasmid_R1162,R1162-like plasmid antisense RNA,Gene; antisense;
RF00044,Viruses,Viruses (100.0%),Viruses (100.0%),Phage_pRNA,Bacteriophage pRNA,Gene;
RF00045,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORA73,Small nucleolar RNA SNORA73 family,Gene; snRNA; snoRNA; HACA-box;
RF00046,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),snoR30,Small nucleolar RNA R30/Z108,Gene; snRNA; snoRNA; CD-box;
RF00047,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-2,mir-2 microRNA precursor,Gene; miRNA;
RF00048,Viruses,Viruses (100.0%),"Viruses (93.44%), Eukaryota (6.56%)",Entero_CRE,Enterovirus cis-acting replication element,Cis-reg;
RF00049,Eukaryota,Eukaryota (100.0%),"Eukaryota (99.89%), Bacteria (0.11%)",SNORD36,Small nucleolar RNA SNORD36,Gene; snRNA; snoRNA; CD-box;
RF00050,Bacteria,"Bacteria (97.92%), unclassified sequences (2.08%)","Bacteria (99.28%), Eukaryota (0.46%), Archaea (0.19%), unclassified sequences (0.07%)",FMN,FMN riboswitch (RFN element),Cis-reg; riboswitch;
RF00051,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-17,mir-17 microRNA precursor family,Gene; miRNA;
RF00052,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),lin-4,lin-4 microRNA precursor,Gene; miRNA;
RF00053,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-7,mir-7 microRNA precursor,Gene; miRNA;
RF00054,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD25,Small nucleolar RNA SNORD25,Gene; snRNA; snoRNA; CD-box;
RF00055,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD96,Small nucleolar RNA SNORD96 family,Gene; snRNA; snoRNA; CD-box;
RF00056,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORA71,Small nucleolar RNA SNORA71,Gene; snRNA; snoRNA; HACA-box;
RF00057,Bacteria,"Bacteria (96.15%), unclassified sequences (3.85%)","Bacteria (96.17%), Eukaryota (3.48%), unclassified sequences (0.35%)",RyhB,RyhB RNA,Gene; sRNA;
RF00058,Archaea,Archaea (100.0%),Archaea (100.0%),HgcF,HgcF RNA (Pab35),Gene; snRNA; snoRNA; HACA-box;
RF00059,Mixed/Bacteria,"Bacteria (88.07%), Eukaryota (9.17%), Archaea (1.83%), unclassified sequences (0.92%)","Bacteria (91.4%), Eukaryota (8.27%), Archaea (0.32%), unclassified sequences (0.01%)",TPP,TPP riboswitch (THI element),Cis-reg; riboswitch;
RF00060,Archaea,Archaea (100.0%),Archaea (100.0%),HgcE,HgcE RNA (Pab105),Gene; snRNA; snoRNA; HACA-box;
RF00061,Viruses,Viruses (100.0%),Viruses (100.0%),IRES_HCV,Hepatitis C virus internal ribosome entry site,Cis-reg; IRES;
RF00062,Archaea,Archaea (100.0%),Archaea (100.0%),HgcC,HgcC family RNA,Gene;
RF00063,Archaea,Archaea (100.0%),Archaea (100.0%),SscA,SscA RNA,Gene;
RF00064,Archaea,Archaea (100.0%),Archaea (100.0%),HgcG,HgcG RNA (Pab40),Gene; snRNA; snoRNA; HACA-box
RF00065,Archaea,Archaea (100.0%),Archaea (100.0%),snoR9,Small nucleolar RNA snoR9,Gene; snRNA; snoRNA; CD-box;
RF00066,Eukaryota,Eukaryota (100.0%),"Eukaryota (99.8%), Bacteria (0.2%)",U7,U7 small nuclear RNA,Gene; snRNA;
RF00067,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD15,Small nucleolar RNA SNORD15,Gene; snRNA; snoRNA; CD-box;
RF00068,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD21,Small nucleolar RNA SNORD21,Gene; snRNA; snoRNA; CD-box;
RF00069,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD24,Small nucleolar RNA SNORD24,Gene; snRNA; snoRNA; CD-box;
RF00070,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD29,Small nucleolar RNA SNORD29,Gene; snRNA; snoRNA; CD-box;
RF00071,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD73,Small nucleolar RNA SNORD73,Gene; snRNA; snoRNA; CD-box;
RF00072,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORA75,Small nucleolar RNA SNORA75,Gene; snRNA; snoRNA; HACA-box;
RF00073,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-156,mir-156 microRNA precursor,Gene; miRNA;
RF00074,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-29,mir-29 microRNA precursor,Gene; miRNA;
RF00075,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-166,mir-166 microRNA precursor,Gene; miRNA;
RF00076,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-181,mir-181 microRNA precursor,Gene; miRNA;
RF00077,Bacteria,Bacteria (100.0%),Bacteria (100.0%),SraB,SraB RNA,Gene; sRNA;
RF00078,Bacteria,Bacteria (100.0%),"Bacteria (95.59%), Eukaryota (4.41%)",MicA,MicA sRNA,Gene; sRNA;
RF00079,Bacteria,"Bacteria (91.3%), unclassified sequences (8.7%)","Bacteria (92.9%), Eukaryota (5.92%), unclassified sequences (1.18%)",OmrA-B,OmrA-B family,Gene; sRNA;
RF00080,Mixed/Bacteria,"Bacteria (89.66%), unclassified sequences (10.34%)","Bacteria (98.2%), Eukaryota (1.44%), unclassified sequences (0.36%)",yybP-ykoY,yybP-ykoY manganese riboswitch,Cis-reg; riboswitch;
RF00081,Bacteria,Bacteria (100.0%),"Bacteria (95.71%), Eukaryota (4.29%)",ArcZ,ArcZ RNA,Gene; sRNA;
RF00082,Bacteria,Bacteria (100.0%),"Bacteria (96.06%), Eukaryota (3.94%)",SraG,SraG RNA,Gene; sRNA;
RF00083,Bacteria,Bacteria (100.0%),"Bacteria (97.52%), Eukaryota (2.48%)",GlmZ_SraJ,GlmZ RNA activator of glmS mRNA,Gene; sRNA;
RF00084,Bacteria,Bacteria (100.0%),"Bacteria (97.62%), Eukaryota (2.38%)",CsrC,CsrC RNA family,Gene; sRNA;
RF00085,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD28,Small nucleolar RNA SNORD28,Gene; snRNA; snoRNA; CD-box;
RF00086,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD27,Small nucleolar RNA SNORD27,Gene; snRNA; snoRNA; CD-box;
RF00087,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD26,Small nucleolar RNA SNORD26,Gene; snRNA; snoRNA; CD-box;
RF00088,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD30,Small nucleolar RNA SNORD30,Gene; snRNA; snoRNA; CD-box;
RF00089,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD31,Small nucleolar RNA SNORD31,Gene; snRNA; snoRNA; CD-box;
RF00090,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORA74,Small nucleolar RNA SNORA74,Gene; snRNA; snoRNA; HACA-box;
RF00091,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORA62,Small nucleolar RNA SNORA62/SNORA6 family,Gene; snRNA; snoRNA; HACA-box;
RF00092,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORA63,Small nucleolar RNA SNORA63,Gene; snRNA; snoRNA; HACA-box;
RF00093,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD18,Small nucleolar RNA SNORD18,Gene; snRNA; snoRNA; CD-box;
RF00094,Viruses,Viruses (100.0%),"Viruses (92.5%), Eukaryota (7.5%)",HDV_ribozyme,Hepatitis delta virus ribozyme,Gene; ribozyme;
RF00095,Archaea,Archaea (100.0%),"Archaea (96.35%), Eukaryota (3.65%)",snoPyro_CD,Pyrococcus C/D box small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;
RF00096,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),U8,U8 small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;
RF00097,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),snoR71,Plant small nucleolar RNA R71,Gene; snRNA; snoRNA; CD-box;
RF00099,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD22,Small nucleolar RNA SNORD22,Gene; snRNA; snoRNA; CD-box;
RF00100,Eukaryota,"Eukaryota (97.78%), unclassified sequences (2.22%)","Eukaryota (99.99%), unclassified sequences (0.01%)",7SK,7SK RNA,Gene;
RF00101,Bacteria,Bacteria (100.0%),"Bacteria (95.96%), Eukaryota (4.04%)",SraC_RyeA,SraC/RyeA RNA,Gene; sRNA;
RF00102,Viruses/Mixed,"Viruses (98.15%), Eukaryota (1.85%)","Viruses (85.93%), Eukaryota (14.07%)",VA,VA RNA,Gene;
RF00103,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-1,mir-1 microRNA precursor family,Gene; miRNA;
RF00104,Eukaryota,Eukaryota (100.0%),"Eukaryota (99.72%), Bacteria (0.28%)",mir-10,mir-10 microRNA precursor family,Gene; miRNA;
RF00105,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD115,Small nucleolar RNA SNORD115,Gene; snRNA; snoRNA; CD-box;
RF00106,Bacteria/Mixed,Bacteria (100.0%),"Bacteria (52.98%), Eukaryota (46.36%), Viruses (0.66%)",RNAI,RNAI,Gene; antisense;
RF00107,Bacteria/Mixed,Bacteria (100.0%),"Bacteria (88.24%), Eukaryota (11.76%)",FinP,FinP,Gene;
RF00108,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD116,Small nucleolar RNA SNORD116,Gene; snRNA; snoRNA; CD-box;
RF00109,Eukaryota,Eukaryota (100.0%),"Eukaryota (99.44%), Bacteria (0.56%)",Vimentin3,Vimentin 3' UTR protein-binding region,Cis-reg;
RF00110,Mixed/Bacteria,"Bacteria (75.0%), unclassified sequences (25.0%)","Bacteria (92.68%), Eukaryota (5.69%), unclassified sequences (1.63%)",RybB,RybB RNA,Gene; sRNA;
RF00111,Bacteria,Bacteria (100.0%),"Bacteria (97.07%), Eukaryota (2.93%)",SdsR_RyeB,SdsR_RyeB RNA,Gene; sRNA;
RF00112,Bacteria,"Bacteria (94.12%), unclassified sequences (5.88%)","Bacteria (98.1%), Eukaryota (0.95%), unclassified sequences (0.95%)",CyaR_RyeE,CyaR/Rye RNA,Gene; sRNA;
RF00113,Bacteria,Bacteria (100.0%),"Bacteria (94.44%), Eukaryota (5.56%)",SIB_RNA,Short Intergenic Abundant RNA,Gene; antitoxin;
RF00114,Bacteria,"Bacteria (93.59%), unclassified sequences (6.41%)","Bacteria (97.35%), Eukaryota (1.99%), unclassified sequences (0.66%)",S15,Ribosomal S15 leader,Cis-reg; leader;
RF00115,Bacteria,Bacteria (100.0%),Bacteria (100.0%),McaS,McaS/IsrA RNA,Gene; sRNA;
RF00116,Bacteria,Bacteria (100.0%),Bacteria (100.0%),C0465,C0465 RNA,Gene; sRNA;
RF00117,Bacteria,Bacteria (100.0%),Bacteria (100.0%),C0719,C0719 RNA,Gene; sRNA;
RF00118,Bacteria,Bacteria (100.0%),"Bacteria (94.64%), Eukaryota (5.36%)",rydB,rydB RNA,Gene; sRNA;
RF00119,Bacteria,Bacteria (100.0%),Bacteria (100.0%),C0299,C0299 RNA,Gene; sRNA;
RF00121,Mixed/Bacteria,"Bacteria (87.5%), unclassified sequences (12.5%)","Bacteria (93.75%), Eukaryota (3.13%), unclassified sequences (3.13%)",MicC,MicC RNA,Gene; sRNA;
RF00122,Bacteria,Bacteria (100.0%),Bacteria (100.0%),GadY,GadY,Gene; sRNA;
RF00124,Bacteria,Bacteria (100.0%),Bacteria (100.0%),IS102,IS102 RNA,Gene; sRNA;
RF00125,Bacteria,Bacteria (100.0%),Bacteria (100.0%),IS128,IS128 RNA,Gene; sRNA;
RF00126,Bacteria,Bacteria (100.0%),"Bacteria (93.75%), Eukaryota (6.25%)",ryfA,ryfA RNA,Gene; sRNA;
RF00127,Bacteria,Bacteria (100.0%),"Bacteria (99.13%), Eukaryota (0.87%)",t44,t44 RNA,Gene; sRNA;
RF00128,Bacteria,Bacteria (100.0%),"Bacteria (92.31%), Eukaryota (7.69%)",GlmY_tke1,Glm Y RNA activator of glmS mRNA,Gene; sRNA;
RF00129,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-103,mir-103/107 microRNA precursor,Gene; miRNA;
RF00130,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-192,mir-192/215 microRNA precursor,Gene; miRNA;
RF00131,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-30,mir-30 microRNA precursor,Gene; miRNA;
RF00132,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),snoR24,Small nucleolar RNA R24,Gene; snRNA; snoRNA; CD-box;
RF00133,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD33,Small nucleolar RNA Z195/SNORD33/SNORD32 family,Gene; snRNA; snoRNA; CD-box;
RF00134,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),snoZ196,Small nucleolar RNA Z196/R39/R59 family,Gene; snRNA; snoRNA; CD-box;
RF00135,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),snoZ223,Small nucleolar RNA Z223,Gene; snRNA; snoRNA; CD-box;
RF00136,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD81,Small nucleolar RNA SNORD81,Gene; snRNA; snoRNA; CD-box;
RF00137,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD83,Small nucleolar RNA SNORD83,Gene; snRNA; snoRNA; CD-box;
RF00138,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD16,Small nucleolar RNA SNORD16,Gene; snRNA; snoRNA; CD-box;
RF00139,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORA72,Small nucleolar RNA SNORA72,Gene; snRNA; snoRNA; HACA-box;
RF00140,Bacteria,Bacteria (100.0%),"Bacteria (98.93%), Eukaryota (1.07%)",Alpha_RBS,Alpha operon ribosome binding site,Cis-reg;
RF00142,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),snoZ118,Small nucleolar RNA Z118/Z121/Z120,Gene; snRNA; snoRNA; CD-box;
RF00143,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-6,mir-6 microRNA precursor,Gene; miRNA;
RF00144,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-199,mir-199 microRNA precursor,Gene; miRNA;
RF00145,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),snoZ105,Small nucleolar RNA Z105,Gene; snRNA; snoRNA; CD-box;
RF00147,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD34,Small nucleolar RNA SNORD34,Gene; snRNA; snoRNA; CD-box;
RF00149,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),snoZ103,Small nucleolar RNA Z103,Gene; snRNA; snoRNA; CD-box;
RF00150,Eukaryota,Eukaryota (100.0%),"Eukaryota (98.88%), Archaea (1.12%)",SNORD42,Small nucleolar RNA SNORD42,Gene; snRNA; snoRNA; CD-box;
RF00151,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD58,Small nucleolar RNA SNORD58,Gene; snRNA; snoRNA; CD-box;
RF00152,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD79,Small nucleolar RNA SNORD79,Gene; snRNA; snoRNA; CD-box;
RF00153,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD62,Small nucleolar RNA SNORD62,Gene; snRNA; snoRNA; CD-box;
RF00154,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD63,Small nucleolar RNA SNORD63,Gene; snRNA; snoRNA; CD-box;
RF00155,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORA66,Small nucleolar RNA SNORA66,Gene; snRNA; snoRNA; HACA-box;
RF00156,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORA70,Small nucleolar RNA SNORA70,Gene; snRNA; snoRNA; HACA-box;
RF00157,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD39,Small nucleolar RNA SNORD55/SNORD39,Gene; snRNA; snoRNA; CD-box;
RF00158,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD82,Small nucleolar RNA SNORD82,Gene; snRNA; snoRNA; CD-box;
RF00159,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),snoZ168,Small nucleolar RNA Z168/Z174,Gene; snRNA; snoRNA; CD-box;
RF00160,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),snoZ159,Small nucleolar RNA Z159/U59,Gene; snRNA; snoRNA; CD-box;
RF00161,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),nos_TCE,Nanos 3' UTR translation control element,Cis-reg;
RF00162,Bacteria,"Bacteria (98.61%), unclassified sequences (1.39%)","Bacteria (99.55%), Eukaryota (0.35%), unclassified sequences (0.1%)",SAM,SAM riboswitch (S box leader),Cis-reg; riboswitch;
RF00163,Mixed/Eukaryota,"Eukaryota (79.31%), Viroids (20.69%)",Eukaryota (100.0%),Hammerhead_1,Hammerhead ribozyme (type I),Gene; ribozyme;
RF00164,Viruses,Viruses (100.0%),"Viruses (92.19%), Eukaryota (7.81%)",s2m,Coronavirus 3' stem-loop II-like motif (s2m),Cis-reg;
RF00165,Viruses,Viruses (100.0%),"Viruses (96.55%), Eukaryota (3.45%)",Corona_pk3,Coronavirus 3' UTR pseudoknot,Cis-reg;
RF00166,Bacteria/Mixed,"Bacteria (94.59%), unclassified sequences (5.41%)","Bacteria (81.29%), Eukaryota (17.27%), unclassified sequences (1.44%)",PrrB_RsmZ,PrrB/RsmZ RNA family,Gene; sRNA;
RF00167,Bacteria,"Bacteria (99.25%), unclassified sequences (0.75%)","Bacteria (99.67%), Eukaryota (0.3%), unclassified sequences (0.04%)",Purine,Purine riboswitch,Cis-reg; riboswitch;
RF00168,Bacteria,Bacteria (100.0%),"Bacteria (99.51%), Eukaryota (0.49%)",Lysine,Lysine riboswitch,Cis-reg; riboswitch;
RF00169,Bacteria,Bacteria (100.0%),"Bacteria (99.23%), Eukaryota (0.73%), Archaea (0.04%)",Bacteria_small_SRP,Bacterial small signal recognition particle RNA,Gene;
RF00170,Mixed/Bacteria,"Bacteria (88.89%), unclassified sequences (11.11%)","Bacteria (90.0%), Eukaryota (3.33%), Viruses (3.33%), unclassified sequences (3.33%)",msr,Retron msr RNA,Gene;
RF00171,Viruses,Viruses (100.0%),Viruses (100.0%),Tombus_5,Tombusvirus 5' UTR,Cis-reg;
RF00172,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),CAESAR,ctgf/hcs24 CAESAR,Cis-reg;
RF00173,Viruses,Viruses (100.0%),Viruses (100.0%),Hairpin,Hairpin ribozyme,Gene; ribozyme;
RF00174,Bacteria,Bacteria (100.0%),"Bacteria (99.48%), Eukaryota (0.49%), Archaea (0.03%)",Cobalamin,Cobalamin riboswitch,Cis-reg; riboswitch;
RF00175,Viruses,Viruses (100.0%),Viruses (100.0%),HIV-1_DIS,Human immunodeficiency virus type 1 dimerisation initiation site,Cis-reg;
RF00176,Viruses,Viruses (100.0%),"Viruses (95.24%), Eukaryota (4.76%)",Tombus_3_IV,Tombusvirus 3' UTR region IV,Cis-reg;
RF00177,Bacteria/Mixed,Bacteria (100.0%),"Bacteria (74.04%), Eukaryota (25.93%), Archaea (0.02%)",SSU_rRNA_bacteria,Bacterial small subunit ribosomal RNA,Gene; rRNA;
RF00178,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),mir-24,mir-24 microRNA precursor family,Gene; miRNA;
RF00179,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),GAIT,GAIT element,Cis-reg;
RF00180,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),REN-SRE,Renin stability regulatory element (REN-SRE),Cis-reg;
RF00181,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,Gene; snRNA; snoRNA; CD-box;
RF00182,Viruses,Viruses (100.0%),Viruses (100.0%),Corona_package,Coronavirus packaging signal,Cis-reg;
RF00183,Eukaryota,Eukaryota (100.0%),Eukaryota (100.0%),G-CSF_SLDE,G-CSF factor stem-loop destabilising element (SLDE),Cis-reg;
RF00184,Viruses,Viruses (100.0%),Viruses (100.0%),PVX_3,Potato virus X cis-acting regulatory element,Cis-reg;
